,OrphaCode,DisorderName,Summary
10,371.0,Glycogen storage disease due to muscle phosphofructokinase deficiency,"Glycogen storage disease due to muscle phosphofructokinase deficiency is very frequently (99-80%) associated with Anemia, Increased muscle glycogen content, and Myotonia. Glycogen storage disease due to muscle phosphofructokinase deficiency is frequently (79-30%) associated with Hyperuricemia, Muscle weakness, and Skeletal muscle atrophy.Glycogen storage disease due to muscle phosphofructokinase deficiency is associated with Disease-causing germline mutation(s) in phosphofructokinase, muscle (PFK-1; PPP1R122; protein phosphatase 1; regulatory subunit 122)."
11,583.0,Mucopolysaccharidosis type 6,"Mucopolysaccharidosis type 6 is very frequently (99-80%) associated with Abnormal metaphysis morphology, Chronic otitis media, Coarse facial features, Disproportionate short-trunk short stature, Epiphyseal dysplasia, Failure to thrive, Joint stiffness, Mucopolysacchariduria, Opacification of the corneal stroma, Recurrent upper respiratory tract infections, Sinusitis, Thick lower lip vermilion, and Thick nasal alae. Mucopolysaccharidosis type 6 is frequently (79-30%) associated with Broad ribs, Genu valgum, Hearing impairment, Hernia, Kyphosis, Ovoid vertebral bodies, Short neck, and Splenomegaly. Mucopolysaccharidosis type 6 is occasionally (29-5%) associated with Abnormal cardiovascular system morphology, Abnormal heart valve morphology, Cognitive impairment, Macroglossia, Malformation of the heart and great vessels, and Visual impairment."
12,812.0,Sialidosis type 1,"Sialidosis type 1 is very frequently (99-80%) associated with Abnormality of movement, Abnormality of speech or vocalization, Aminoaciduria, Ataxia, Cherry red spot of the macula, Coarse facial features, Corneal opacity, Delayed skeletal maturation, Dysostosis multiplex, Gait disturbance, Hyperkeratosis, Increased urinary O-linked sialopeptides, Myoclonus, Nystagmus, Pectus carinatum, Progressive visual loss, Retinopathy, Scoliosis, Seizure, Sensorineural hearing impairment, Short stature, Short thorax, Skeletal dysplasia, Slurred speech, Splenomegaly, Thick lower lip vermilion, Urinary excretion of sialylated oligosaccharides, Vascular skin abnormality, Visual impairment, and Wide nasal bridge. Sialidosis type 1 is frequently (79-30%) associated with Abnormal form of the vertebral bodies, Decreased nerve conduction velocity, EEG abnormality, Frontal bossing, Hernia, Hypotonia, Intellectual disability, Muscle weakness, Skeletal muscle atrophy, and Tremor. Sialidosis type 1 is occasionally (29-5%) associated with Cataract and Kyphosis.Sialidosis type 1 is associated with Disease-causing germline mutation(s) in neuraminidase 1 (sialidase-1)."
13,578.0,Mucolipidosis type IV,"Mucolipidosis type IV is very frequently (99-80%) associated with Abnormality of ganglioside metabolism, Abnormality of mucopolysaccharide metabolism, Absent speech, Aplasia/Hypoplasia of the abdominal wall musculature, Atypical behavior, Corneal opacity, Developmental stagnation, Gait disturbance, Hyperreflexia, Intellectual disability, Photophobia, Retinopathy, and Strabismus. Mucolipidosis type IV is frequently (79-30%) associated with Ataxia, EEG abnormality, Hypotonia, and Nystagmus. Mucolipidosis type IV is occasionally (29-5%) associated with Abnormal electroretinogram, Abnormal nasal morphology, Abnormality of retinal pigmentation, Biparietal narrowing, Coarse facial features, Everted lower lip vermilion, Genu recurvatum, Microcephaly, Microdontia, and Palmoplantar keratoderma.Mucolipidosis type IV is associated with Disease-causing germline mutation(s) (loss of function) in mucolipin TRP cation channel 1 (ML4; MLIV; MST080; MSTP080; TRPM-L1; TRPML1; transient receptor potential cation channel mucolipin subfamily member 1; transient receptor potential mucolipin 1; mucolipidosis type IV)."
14,577.0,Mucolipidosis type III,"Mucolipidosis type III is very frequently (99-80%) associated with Abnormal form of the vertebral bodies, Abnormality of the hip bone, Craniofacial hyperostosis, Deficiency of N-acetylglucosamine-1-phosphotransferase, Hypoplastic inferior ilia, Joint stiffness, Large iliac wings, Prominent occiput, Short stature, Stiff finger, and Visual impairment. Mucolipidosis type III is frequently (79-30%) associated with Abnormal cardiovascular system morphology, Bullet-shaped distal phalanges of the hand, Chronic pain, Claw hand deformity, Coarse facial features, Cognitive impairment, Constrictive median neuropathy, Corneal opacity, Dysostosis multiplex, Genu valgum, Hip dysplasia, Hyperlordosis, Mitral valve prolapse, Osteoarthritis, Osteopenia, and Scoliosis. Mucolipidosis type III is occasionally (29-5%) associated with Aortic regurgitation, Broad ribs, Fatigue, Mitral regurgitation, Reduced bone mineral density, Restrictive ventilatory defect, Spinal cord compression, Thickened skin, and Waddling gait."
15,796.0,Sandhoff disease,"Sandhoff disease is very frequently (99-80%) associated with Abnormal glycosphingolipid metabolism, Abnormality of movement, Ataxia, Blindness, Cherry red spot of the macula, Failure to thrive, Hearing impairment, Kyphosis, Macrocephaly, Motor deterioration, Progressive psychomotor deterioration, and Seizure. Sandhoff disease is frequently (79-30%) associated with Full cheeks, Hepatomegaly, Muscle weakness, Recurrent respiratory infections, and Splenomegaly. Sandhoff disease is occasionally (29-5%) associated with Congestive heart failure and Skeletal dysplasia."
16,584.0,Mucopolysaccharidosis type 7,"Mucopolysaccharidosis type 7 is very frequently (99-80%) associated with Abnormality of the pleura, Anterior beaking of lower thoracic vertebrae, Anterior beaking of lumbar vertebrae, Ascites, Coarse facial features, Corneal opacity, Diaphyseal thickening, Flat face, Inguinal hernia, Intellectual disability, Lymphedema, Recurrent respiratory infections, Scoliosis, and Umbilical hernia. Mucopolysaccharidosis type 7 is frequently (79-30%) associated with Abnormality of the hip bone, Epiphyseal stippling, Hepatitis, Hydrops fetalis, Hypotonia, Joint stiffness, Metatarsus adductus, Mucopolysacchariduria, and Splenomegaly. Mucopolysaccharidosis type 7 is occasionally (29-5%) associated with Arteriovenous malformation, Enlarged thorax, and Short neck.Mucopolysaccharidosis type 7 is associated with Disease-causing germline mutation(s) in glucuronidase beta."
17,461.0,Recessive X-linked ichthyosis,"Recessive X-linked ichthyosis is very frequently (99-80%) associated with Dry skin, Hyperkeratosis, Hypohidrosis, and Ichthyosis. Recessive X-linked ichthyosis is frequently (79-30%) associated with Attention deficit hyperactivity disorder and Opacification of the corneal stroma. Recessive X-linked ichthyosis is occasionally (29-5%) associated with Abnormality of speech or vocalization, Autism, Cryptorchidism, Desquamation of skin soon after birth, and Motor delay. Recessive X-linked ichthyosis is very rarely (<4-1%) associated with Intellectual disability.Recessive X-linked ichthyosis is associated with Disease-causing germline mutation(s) in steroid sulfatase (steryl-sulfatase; ARSC; arylsulfatase C); Modifying germline mutation in filaggrin (FLG1; FLG-1)."
18,881.0,Turner syndrome,"Turner syndrome is very frequently (99-80%) associated with Abnormal forearm bone morphology, Abnormality of the ovary, Aplasia/Hypoplasia of the nipples, Cubitus valgus, Delayed puberty, Delayed skeletal maturation, Enlarged thorax, Female infertility, Gonadal dysgenesis, Growth delay, High urinary gonadotropins (primary hypogonadism), Increased circulating gonadotropin level, Increased upper to lower segment ratio, Intrauterine growth retardation, Osteopenia, Osteoporosis, Postnatal growth retardation, Premature ovarian insufficiency, Short neck, Short stature, Short sternum, and Wide intermamillary distance. Turner syndrome is frequently (79-30%) associated with Abnormal dermatoglyphics, Abnormal facial shape, Anxiety, Atypical behavior, Broad neck, Dermatoglyphic ridges abnormal, Dilatation of the aortic arch, Elevated hepatic transaminase, Enlargement of the distal femoral epiphysis, Failure to thrive in infancy, Genu valgum, Glucose intolerance, Hashimoto thyroiditis, Hearing impairment, Hepatic steatosis, High palate, High, narrow palate, Hypermobility of toe joints, Hypertension, Hypoplastic toenails, Impaired use of nonverbal behaviors, Irregular proximal tibial epiphyses, Kyphosis, Low posterior hairline, Low-set ears, Micrognathia, Neck pterygia, Obesity, Primary amenorrhea, Recurrent otitis media, Retrognathia, Secondary amenorrhea, Shield chest, Short 4th metacarpal, Short 5th metacarpal, Specific learning disability, Thickened nuchal skin fold, and Webbed neck. Turner syndrome is occasionally (29-5%) associated with Abnormal fingernail morphology, Abnormality of the dentition, Alopecia, Aplasia/Hypoplasia of the mandible, Atrial septal defect, Attention deficit hyperactivity disorder, Atypical scarring of skin, Autoimmunity, Bicuspid aortic valve, Celiac disease, Cholestatic liver disease, Coarctation of aorta, Cystic hygroma, Delayed social development, Depression, Ectopic kidney, Epicanthus, External ear malformation, Hepatic fibrosis, Hip dysplasia, Horseshoe kidney, Hyperconvex fingernails, Hyperinsulinemia, Inverted nipples, Lymphedema, Madelung deformity, Melanocytic nevus, Myocardial infarction, Myopia, Nevus, Numerous congenital melanocytic nevi, Pectus excavatum, Pes planus, Prolonged QT interval, Ptosis, Reduced bone mineral density, Scoliosis, Short toe, Splayed toes, Strabismus, Thyroiditis, Type II diabetes mellitus, and Vitiligo. Turner syndrome is very rarely (<4-1%) associated with Aortic dissection, Arterial dissection, Biliary cirrhosis, Cirrhosis, Gastrointestinal angiodysplasia, Gastrointestinal inflammation, Gonadoblastoma, Hypoplastic left heart, Inflammation of the large intestine, Melanoma, Neurodevelopmental delay, and Renal hypoplasia/aplasia."
19,848.0,Beta-thalassemia,"Beta-thalassemia is very frequently (99-80%) associated with Abnormal hemoglobin, Abnormality of the skeletal system, Anemia, Microcytic anemia, Pallor, and Splenomegaly. Beta-thalassemia is frequently (79-30%) associated with Abnormal skull morphology, Abnormality of iron homeostasis, Abnormality of temperature regulation, Hepatomegaly, Hypogonadotropic hypogonadism, Irritability, Muscle weakness, Reduced bone mineral density, and Respiratory insufficiency. Beta-thalassemia is occasionally (29-5%) associated with Cholelithiasis, Hepatitis, Hypertrophic cardiomyopathy, Skin ulcer, Thrombocytopenia, and Venous thrombosis."
20,586.0,Cystic fibrosis,"Cystic fibrosis is very frequently (99-80%) associated with Absent vas deferens, Airway obstruction, Bronchiectasis, Elevated sweat chloride, Exocrine pancreatic insufficiency, Malabsorption, and Recurrent respiratory infections. Cystic fibrosis is frequently (79-30%) associated with Failure to thrive and Male infertility. Cystic fibrosis is occasionally (29-5%) associated with Abnormality of the liver, Anxiety, Asthma, Decreased body mass index, Depression, Elevated hepatic transaminase, Gastroesophageal reflux, Meconium ileus, Osteopenia, Rectal prolapse, Recurrent Aspergillus infections, Recurrent Haemophilus influenzae infections, Recurrent Staphylococcus aureus infections, Recurrent lower respiratory tract infections, Reduced forced expiratory volume in one second, Sinusitis, and Steatorrhea. Cystic fibrosis is very rarely (<4-1%) associated with Cirrhosis, Hearing impairment, Hemoptysis, Nasal polyposis, Nephrolithiasis, Nontuberculous mycobacterial pulmonary infection, Osteoporosis, Pneumothorax, and Recurrent Burkholderia cepacia infections.Cystic fibrosis is associated with Disease-causing germline mutation(s) (loss of function) in CF transmembrane conductance regulator (MRP7; TNR-CFTR; dJ760C5.1; ABC35; ATP-binding cassette sub-family C; member 7; CFTR; MRP); Modifying germline mutation in serpin family A member 1 (A1A; A1AT; AAT; PI1; alpha-1-antitrypsin; alpha1AT; protease inhibitor 1 (anti-elastase); alpha-1 antitrypsin; anti-elastase; protease inhibitor 1; alpha-1 proteinase inhibitor), solute carrier family 26 member 9 (anion transporter; exchanger-9), solute carrier family 6 member 14, solute carrier family 9 member A3 (NHE-3; Sodium; hydrogen exchanger 3), CEA cell adhesion molecule 3 (CD66d; CGM1a), CEA cell adhesion molecule 6 (CD66c; NCA-50; 90), endothelin receptor type A (ETA-R; ET-A; hET-AR), glutathione S-transferase mu 3 (GST5; GSTM3TV2), heme oxygenase 1 (HO-1; bK286B10), glutamate-cysteine ligase catalytic subunit (GCS), homeostatic iron regulator (HLA-H; high Fe; HFE1), transforming growth factor beta 1 (CED; Camurati-Engelmann disease; TGFbeta; prepro-transforming growth factor beta-1; Diaphyseal dysplasia 1; progressive), dynactin subunit 4 (p62; Dyn4), chloride channel accessory 4 (CaCC2), syntaxin 1A (HPC-1; p35-1), potassium calcium-activated channel subfamily N member 4 (IK; KCa3.1; hIKCa1; hKCa4; hSK4; intermediate conductance calcium-activated potassium channel; small conductance calcium-activated potassium channel 4), macrophage migration inhibitory factor (phenylpyruvate tautomerase; glycosylation-inhibiting factor; GIF), and solute carrier family 11 member 1."
21,846.0,Alpha-thalassemia,"Alpha-thalassemia is very frequently (99-80%) associated with Abnormal hemoglobin and Microcytic anemia. Alpha-thalassemia is frequently (79-30%) associated with Congestive heart failure, Extramedullary hematopoiesis, Generalized edema, Hepatosplenomegaly, Pericardial effusion, Pleural effusion, and Reticulocytosis. Alpha-thalassemia is occasionally (29-5%) associated with Abnormality of immune system physiology, Anemia, Anisopoikilocytosis, Cholelithiasis, Cognitive impairment, Hemoglobin Barts, Hemolytic anemia, Hydrops fetalis, Hyperplasia of the maxilla, Hypersplenism, Jaundice, Malar prominence, Myelodysplasia, and Splenomegaly."
22,269.0,Facioscapulohumeral dystrophy,"Facioscapulohumeral dystrophy is very frequently (99-80%) associated with Elevated circulating creatine kinase concentration, Hyperlordosis, Mask-like facies, Progressive muscle weakness, Scapular winging, and Skeletal muscle atrophy. Facioscapulohumeral dystrophy is frequently (79-30%) associated with Abdominal wall muscle weakness, Abnormal retinal vascular morphology, Beevor's sign, Camptocormia, Chronic pain, Conjunctivitis, Decreased facial expression, Distal upper limb muscle weakness, EMG: myopathic abnormalities, Foot dorsiflexor weakness, Frequent falls, Gait disturbance, Keratitis, Limb-girdle muscle weakness, Nocturnal lagophthalmos, Pectoralis amyotrophy, Pectus excavatum, Protuberant abdomen, Restrictive ventilatory defect, Right bundle branch block, Scoliosis, Sensorineural hearing impairment, Steppage gait, Straight clavicles, and Weakness of facial musculature. Facioscapulohumeral dystrophy is occasionally (29-5%) associated with Exudative retinopathy, Respiratory insufficiency, Retinal detachment, Seizure, Supraventricular arrhythmia, and Visual loss.Facioscapulohumeral dystrophy is associated with Candidate gene tested in double homeobox 4, double homeobox 4 like 1 (pseudogene), and FSHD region gene 1 (FRG1A; FSG1); Disease-causing germline mutation(s) in structural maintenance of chromosomes flexible hinge domain containing 1 (FSHD2; KIAA0650); Modifying germline mutation in DNA methyltransferase 3 beta and structural maintenance of chromosomes flexible hinge domain containing 1 (FSHD2; KIAA0650)."
23,261.0,Emery-Dreifuss muscular dystrophy,"Emery-Dreifuss muscular dystrophy is very frequently (99-80%) associated with Elevated circulating creatine kinase concentration, Joint stiffness, Limb-girdle muscular dystrophy, Myopathy, Myotonia, Pectus excavatum, and Reduced tendon reflexes. Emery-Dreifuss muscular dystrophy is frequently (79-30%) associated with Absent muscle fiber emerin, Achilles tendon contracture, Back pain, Decreased cervical spine flexion due to contractures of posterior cervical muscles, EMG: myopathic abnormalities, Elbow flexion contracture, Gait disturbance, Hypertriglyceridemia, Increased LDL cholesterol concentration, Proximal lower limb amyotrophy, Proximal muscle weakness in lower limbs, Proximal muscle weakness in upper limbs, Proximal upper limb amyotrophy, Rimmed vacuoles, Scapular winging, Spinal rigidity, Sprengel anomaly, Tip-toe gait, Type 1 muscle fiber atrophy, and Waddling gait. Emery-Dreifuss muscular dystrophy is occasionally (29-5%) associated with Atrioventricular block, Dilated cardiomyopathy, Hyperlordosis, Hypotonia, Ichthyosis, Kyphosis, Lipodystrophy, Obesity, Ptosis, Scoliosis, and Supraventricular arrhythmia. Emery-Dreifuss muscular dystrophy is very rarely (<4-1%) associated with Hypertrophic cardiomyopathy, Respiratory insufficiency due to muscle weakness, Sudden cardiac death, Ventricular escape rhythm, and Vocal cord paralysis. Emery-Dreifuss muscular dystrophy is not associated (0%) associated with Intellectual disability."
24,480.0,Kearns-Sayre syndrome,"Kearns-Sayre syndrome is very frequently (99-80%) associated with Pigmentary retinopathy, Progressive external ophthalmoplegia, and Third degree atrioventricular block. Kearns-Sayre syndrome is frequently (79-30%) associated with Anterior hypopituitarism, Ataxia, EMG abnormality, Hearing impairment, Hypotonia, Increased CSF protein concentration, Progressive intervertebral space narrowing, Ptosis, Ragged-red muscle fibers, Reduced tendon reflexes, and Skeletal muscle atrophy. Kearns-Sayre syndrome is occasionally (29-5%) associated with Cardiomyopathy, Chronic kidney disease, Cognitive impairment, Delayed puberty, Delayed skeletal maturation, Dementia, Diabetes mellitus, Dysphagia, Exercise intolerance, Hemiplegia/hemiparesis, Hypoparathyroidism, Muscle weakness, Neck muscle weakness, Renal tubular acidosis, Short stature, and Tremor.Kearns-Sayre syndrome is associated with Candidate gene tested in mitochondrially encoded ATP synthase membrane subunit 8 (mitochondrially encoded ATP synthase membrane subunit A6L; A6L; ATP8; URFA6L) and mitochondrially encoded tRNA-Leu (UUA/G) 1 (TRNL1); Disease-causing germline mutation(s) in ribonucleotide reductase regulatory TP53 inducible subunit M2B (p53R2)."
25,614.0,Thomsen and Becker disease,"Thomsen and Becker disease is very frequently (99-80%) associated with EMG abnormality, EMG: myotonic discharges, Muscle stiffness, Myotonia, and Myotonia with warm-up phenomenon. Thomsen and Becker disease is frequently (79-30%) associated with Myalgia and Skeletal muscle hypertrophy. Thomsen and Becker disease is occasionally (29-5%) associated with Clumsiness, EMG: myopathic abnormalities, Feeding difficulties in infancy, Muscle spasm, and Progressive distal muscle weakness. Thomsen and Becker disease is very rarely (<4-1%) associated with Arrhythmia, Cardiac conduction abnormality, and Dysphagia.Thomsen and Becker disease is associated with Disease-causing germline mutation(s) (loss of function) in chloride voltage-gated channel 1 (CLC1; ClC-1; Thomsen disease; autosomal dominant)."
26,551.0,MERRF,"MERRF is very frequently (99-80%) associated with Abnormality of movement, Ataxia, EMG abnormality, Generalized myoclonic seizure, Myopathy, Ragged-red muscle fibers, and Sensorineural hearing impairment. MERRF is frequently (79-30%) associated with Cognitive impairment, Multiple lipomas, Optic atrophy, and Short stature.MERRF is associated with Candidate gene tested in mitochondrially encoded 12S rRNA (12S; mitochondrial open-reading-frame of the twelve S rRNA type-c; mitochondrially encoded 12S ribosomal RNA; MOTS-c), mitochondrially encoded tRNA-Gln (CAA/G) (trnQ), and mitochondrially encoded tRNA-Ser (AGU/C) 2 (RP8; TRNS2); Disease-causing germline mutation(s) in mitochondrially encoded tRNA-Pro (CCN) (trnP), mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5 (NAD5; NADH-ubiquinone oxidoreductase chain 5; ND5; complex I ND5 subunit), mitochondrially encoded tRNA-Leu (UUA/G) 1 (TRNL1), mitochondrially encoded tRNA-Lys (AAA/G) (trnK), mitochondrially encoded tRNA-His (CAU/C) (trnH), mitochondrially encoded tRNA-Ser (UCN) 1 (TRNS1), and mitochondrially encoded tRNA-Phe (UUU/C) (trnF)."
27,597.0,Central core disease,"Central core disease is frequently (79-30%) associated with Central core regions in muscle fibers, Congenital hip dislocation, Easy fatigability, Hypotonia, Joint laxity, Kyphoscoliosis, Malignant hyperthermia, Mitral valve prolapse, Motor delay, Multiple joint contractures, Muscle stiffness, Myopathy, Pelvic girdle muscle weakness, Pes planus, Talipes equinovarus, and Type 1 muscle fiber predominance. Central core disease is occasionally (29-5%) associated with Abnormal circulating creatine kinase concentration, Bulbar signs, Nemaline bodies, and Ophthalmoplegia. Central core disease is very rarely (<4-1%) associated with Elevated circulating creatine kinase concentration, Fetal akinesia sequence, Neonatal respiratory distress, and Respiratory insufficiency due to muscle weakness. Central core disease is not associated (0%) associated with Rectus femoris muscle atrophy.Central core disease is associated with Disease-causing germline mutation(s) in ryanodine receptor 1 (PPP1R137; RYR; protein phosphatase 1; regulatory subunit 137)."
